2030,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
25,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
21846,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
3214,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
21848,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
1408,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
6615,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
214,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
1815,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
2035,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
6032,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
222,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
1820,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
1615,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
21608,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
5812,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
5813,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6616,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
6419,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
227,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
21614,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
6218,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
6219,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
29,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
6421,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
409,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
21850,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
1616,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
1617,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
3221,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
3222,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
21619,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
35,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
6625,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
1823,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
1619,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
36,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
5623,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
413,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
6422,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
6823,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
5815,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6220,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
6627,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
6035,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
21622,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
21626,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
21627,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
6828,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
5435,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
6830,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
37,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
6221,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
1410,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
2038,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
1628,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
6426,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
6630,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
6428,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
6831,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
21628,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
233,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
21418,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
6834,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
21425,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
3225,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
243,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
6430,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
416,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
6634,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
5437,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
6222,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
2039,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
6636,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
1413,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
21430,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
417,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
1631,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
5819,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6837,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
38,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
3226,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
1635,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
5822,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
5441,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
3227,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
1415,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
6225,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
5823,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
5446,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
1826,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
3414,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
252,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
21856,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6640,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
21857,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6839,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
423,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
6432,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
3228,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
6645,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
21859,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6646,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
6039,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
1827,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
3229,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
1636,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
3417,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
1422,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
6844,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
21860,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
3419,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
3421,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
2052,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
6647,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
5824,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
5625,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
6229,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
21861,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
5626,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
1829,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
1643,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
21862,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
5448,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
6230,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
1831,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
21629,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
44,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
2054,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
21433,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
1423,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
5633,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
2056,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
424,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
1424,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
6433,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
21863,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
5829,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6650,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
1835,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
1837,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
6231,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
6233,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
21636,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
3422,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
5634,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
2060,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
47,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
6434,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
2061,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
1427,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
49,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
5452,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
253,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
1645,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
1651,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
3423,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
1838,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
6439,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
6652,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
6040,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
5837,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6041,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
6047,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
6653,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
50,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
3427,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
6846,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
5457,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
5459,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
6440,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
21643,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
5469,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
6234,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
254,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
21440,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
6049,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
21445,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
426,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
1654,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
21644,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
21872,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
3233,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
427,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
54,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
6442,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
2062,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
6446,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
6654,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
2064,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
21652,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
5648,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
3237,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
21875,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
258,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
21653,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
1841,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
3242,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
6847,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
59,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
428,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
3247,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
5470,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
3431,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
437,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
21446,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
1655,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
438,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
21448,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
21656,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
2068,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
60,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
2070,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
5839,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
1657,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
6850,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
1843,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
